id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2737,"Elif's room in cozy, clean flat.",3047,Elif,,VIII Appia Antica,41.87136,12.48215,Private room,28,7,7,2015-05-28,0.08,5,363,0,
2903,Stay a night in Calisto6 B&B Rome,3280,Andrea,,I Centro Storico,41.88824,12.46953,Private room,66,1,55,2017-10-31,0.35,3,243,0,
3079,Cozy apartment  (2-4)with Colisseum  view,3504,Laura,,I Centro Storico,41.895,12.49117,Entire home/apt,90,5,19,2021-09-11,0.14,7,350,2,
12398,Casa Donatello - Home far from Home,11756,Gea,,II Parioli/Nomentano,41.92582,12.46928,Entire home/apt,63,1,43,2021-08-25,0.32,2,209,3,
16276,B&B Calisto6 great location in Rome,3280,Andrea,,I Centro Storico,41.89007,12.47122,Private room,66,1,6,2015-06-18,0.04,3,358,0,
19965,"DI FRONTE AI MUSEI VATICANI 
2 CAMERE SILENZIOSO",75450,Sasa,,I Centro Storico,41.9073,12.45349,Entire home/apt,70,3,62,2021-11-21,0.51,10,253,7,
19967,A 5 MIN A PIEDI P.ZZA S.PIETRO  2 CAMERE SPAZIOSO,75450,Sasa,,I Centro Storico,41.908283,12.452617,Entire home/apt,68,3,32,2021-08-08,0.32,10,252,1,
20534,DormiRoma - Cedro 1 Apartment - Trastevere,77540,Sabrina,,I Centro Storico,41.88992,12.46823,Entire home/apt,90,3,45,2019-09-11,0.33,5,278,0,
20587,DormiRoma - Cedro 4 Apartment - Trastevere,77540,Sabrina,,I Centro Storico,41.88992,12.46823,Entire home/apt,140,3,59,2021-09-20,0.43,5,269,1,
20606,"Your own home in St. Peter, Rome",77932,Giovanna,,XIII Aurelia,41.89689,12.45695,Entire home/apt,146,2,71,2021-08-20,0.52,3,199,1,
20699,Vintage Suite w/ Private Bath & AC,78287,Frank & Soledad,,I Centro Storico,41.89294,12.50581,Private room,58,1,413,2021-11-19,3.01,8,348,23,
21193,BLUE DOUBLE ROOM WITH TERRACE,80755,Marianna,,I Centro Storico,41.91029,12.44703,Private room,70,2,14,2019-11-12,0.10,4,361,0,
21249,"B&B 830, 10 min. from everything! - ROME",81015,Emanuele,,VII San Giovanni/Cinecittà,41.86287,12.54784,Private room,45,3,107,2019-10-23,0.76,10,252,0,
21811,PRETTY FLAT IN TRASTEVERE,5232802,Coan,,I Centro Storico,41.89084,12.46804,Entire home/apt,55,3,195,2021-11-22,1.40,16,270,4,
22335,4  Apartments in Navona square (unit 1),85707,Elena,,I Centro Storico,41.89939,12.46711,Entire home/apt,34,1,143,2021-11-05,2.03,4,324,32,
22395,VERY COOL FLAT IN ST. PETER,5232802,Coan,,I Centro Storico,41.90428,12.4629,Entire home/apt,89,3,32,2021-11-19,0.25,16,259,7,
22573,Splendido loft con pezzi di design nel cuore del Pigneto,86882,Francesco,,V Prenestino/Centocelle,41.89078,12.52634,Entire home/apt,70,28,101,2021-01-20,0.72,1,1,1,
22930,DormiRoma - Cedro 3 Apartment - Trastevere,77540,Sabrina,,I Centro Storico,41.88992,12.46823,Entire home/apt,95,3,64,2020-02-18,0.46,5,296,0,
23803,Charming flat in Trastevere,5232802,Coan,,I Centro Storico,41.88958,12.4678,Entire home/apt,79,3,235,2021-11-07,1.77,16,272,11,
24557,Mini apartment with garden & wifi,86053,Els,,XIV Monte Mario,41.91114,12.41477,Entire home/apt,73,2,326,2021-11-01,2.30,1,361,2,
25875,Your holiday next to St. Peter,77932,Giovanna,,XIII Aurelia,41.89689,12.45695,Entire home/apt,529,4,34,2019-01-02,0.25,3,0,0,
